address,cars,bluecar counter,utilib_counter,utilib_counter,charge_slots,charging status,city,kind,postal_code,rental_status,slots,station_type,status,subscription_status,year,month,day,hour,minute,timestamp,Total_cars
51 avenue Karl Marx,4,4,0,0,0,nonexistent,Villejuif,STATION,94800,operational,1,station,ok,nonexistent,2018,4,5,6,2,2018-04-05 06:02:00,4
137 Rue des PyrÃ©nÃ©es,2,2,0,0,1,operational,Paris,SPACE,75020,operational,2,full_station,ok,operational,2018,4,6,7,17,2018-04-06 07:17:00,2
61 Boulevard Ãmile Zola,6,6,0,0,0,nonexistent,Nanterre,STATION,92000,operational,0,station,ok,nonexistent,2018,4,5,5,7,2018-04-05 05:07:00,6
10 Rue du Ranelagh,1,1,0,0,0,nonexistent,Paris,STATION,75016,operational,5,station,ok,nonexistent,2018,4,7,6,55,2018-04-07 06:55:00,1
10 rue Guy Patin,3,3,0,0,2,operational,Paris,STATION,75010,operational,3,station,ok,nonexistent,2018,4,2,7,31,2018-04-02 07:31:00,3
24 Avenue d'IÃ©na,0,0,0,0,0,nonexistent,Paris,STATION,75016,operational,4,station,ok,nonexistent,2018,4,1,6,20,2018-04-01 06:20:00,0
56 Rue La Fayette,3,3,0,0,0,operational,Paris,STATION,75009,operational,1,station,ok,nonexistent,2018,4,6,12,19,2018-04-06 12:19:00,3
204 rue dâEstienne dâOrves,1,1,0,0,0,nonexistent,VerriÃ¨res-le-Buisson,STATION,91370,operational,6,station,ok,nonexistent,2018,4,6,13,40,2018-04-06 13:40:00,1
13 rue Malher,2,2,0,1,0,nonexistent,Paris,STATION,75004,operational,0,station,ok,nonexistent,2018,4,2,19,19,2018-04-02 19:19:00,3
1 rue Claude Terrasse,1,1,0,0,0,operational,Le Blanc-Mesnil,STATION,93150,operational,5,station,ok,nonexistent,2018,4,3,3,48,2018-04-03 03:48:00,1
6 avenue Emile Zola,1,1,0,1,0,nonexistent,Paris,STATION,75015,operational,2,station,ok,nonexistent,2018,4,5,18,58,2018-04-05 18:58:00,2
231 rue des PyrÃ©nÃ©es,2,2,0,0,0,nonexistent,Paris,STATION,75020,operational,1,station,ok,nonexistent,2018,4,3,7,43,2018-04-03 07:43:00,2
116 rue RÃ©aumur,0,0,0,0,0,operational,Paris,STATION,75002,operational,0,station,ok,nonexistent,2018,4,3,18,29,2018-04-03 18:29:00,0
11 rue Gerbert,5,5,0,0,0,operational,Paris,STATION,75015,operational,0,station,ok,nonexistent,2018,4,4,23,50,2018-04-04 23:50:00,5
126 rue de Colombes,1,1,0,0,0,nonexistent,La Garenne-Colombes,STATION,92250,operational,6,station,ok,nonexistent,2018,4,1,9,58,2018-04-01 09:58:00,1
94 Rue Paul Vaillant Couturier,6,6,0,0,0,nonexistent,Nanterre,STATION,92000,operational,0,station,ok,nonexistent,2018,4,4,7,23,2018-04-04 07:23:00,6
7 Rue Pruvot,0,0,0,0,0,nonexistent,Vanves,STATION,92170,broken,0,station,closed,nonexistent,2018,4,4,8,51,2018-04-04 08:51:00,0
33 Avenue Jules Quentin,3,3,2,1,0,nonexistent,Nanterre,STATION,92000,operational,0,station,ok,nonexistent,2018,4,8,22,57,2018-04-08 22:57:00,6
2 Avenue John Fitzgerald Kennedy,3,3,0,0,1,operational,Le Bourget,STATION,93350,operational,3,station,ok,nonexistent,2018,4,1,4,43,2018-04-01 04:43:00,3
182 Boulevard Voltaire,1,1,0,0,2,operational,Paris,STATION,75011,operational,4,station,ok,nonexistent,2018,4,6,12,13,2018-04-06 12:13:00,1
3 rue de Vaugirard,1,1,0,0,0,operational,Paris,STATION,75006,operational,2,station,ok,nonexistent,2018,4,3,20,34,2018-04-03 20:34:00,1
98 boulevard Murat,5,5,0,0,0,operational,Paris,STATION,75016,operational,0,station,ok,nonexistent,2018,4,5,17,7,2018-04-05 17:07:00,5
139 boulevard de Grenelle,6,6,0,0,0,operational,Paris,STATION,75015,operational,0,station,ok,nonexistent,2018,4,1,21,46,2018-04-01 21:46:00,6
161 rue du Faubourg Saint-HonorÃ©,1,1,0,0,1,operational,Paris,STATION,75008,operational,4,station,ok,nonexistent,2018,4,2,13,49,2018-04-02 13:49:00,1
1 rue de Chanaleilles,3,3,0,0,0,operational,Paris,STATION,75007,operational,1,station,ok,nonexistent,2018,4,9,16,51,2018-04-09 16:51:00,3
66 rue Gay-Lussac,1,1,0,0,1,operational,Paris,SPACE,75005,operational,4,full_station,ok,operational,2018,4,9,1,7,2018-04-09 01:07:00,1
2 rue de Fleurus,1,1,0,0,1,operational,Paris,STATION,75006,operational,2,station,ok,nonexistent,2018,4,5,23,4,2018-04-05 23:04:00,1
2 rue de la Coussaye,2,2,0,0,0,nonexistent,Enghien-les-Bains,STATION,95880,operational,3,station,ok,nonexistent,2018,4,3,11,18,2018-04-03 11:18:00,2
2 rue de la RÃ©publique,6,6,0,0,0,operational,Montreuil,STATION,93100,operational,1,station,ok,nonexistent,2018,4,3,13,48,2018-04-03 13:48:00,6
52 Rue de Bagneux,4,4,1,0,0,nonexistent,Sceaux,STATION,92330,operational,1,station,ok,nonexistent,2018,4,8,8,26,2018-04-08 08:26:00,5
8 Avenue de la Porte de Montrouge,3,3,0,1,1,operational,Paris,STATION,75014,operational,2,station,ok,nonexistent,2018,4,8,19,57,2018-04-08 19:57:00,4
35 rue Mathis,0,0,0,0,0,nonexistent,Paris,STATION,75019,operational,4,station,ok,nonexistent,2018,4,1,0,32,2018-04-01 00:32:00,0
3 boulevard du Couchant,6,6,0,0,0,nonexistent,Nanterre,STATION,92000,operational,0,station,ok,nonexistent,2018,4,4,6,40,2018-04-04 06:40:00,6
1 Place de la RÃ©publique,1,1,0,1,0,nonexistent,Levallois-Perret,PARKING,92300,operational,2,station,ok,nonexistent,2018,4,9,10,47,2018-04-09 10:47:00,2
38 Rue RÃ©aumur,0,0,0,0,2,operational,Paris,STATION,75003,operational,6,station,ok,nonexistent,2018,4,2,14,32,2018-04-02 14:32:00,0
47 rue de la Grange aux Belles,3,3,0,0,0,operational,Paris,STATION,75010,operational,2,station,ok,nonexistent,2018,4,6,1,31,2018-04-06 01:31:00,3
31 Rue Camille Desmoulins,2,2,0,1,0,nonexistent,Issy-les-Moulineaux,STATION,92130,operational,3,station,ok,nonexistent,2018,4,2,0,0,2018-04-02 00:00:00,3
19 Rue des Filles du Calvaire,1,1,1,0,1,operational,Paris,STATION,75003,operational,1,station,ok,nonexistent,2018,4,5,14,51,2018-04-05 14:51:00,2
81 avenue Ãdouard Vaillant,2,2,0,0,0,nonexistent,Boulogne-Billancourt,STATION,92100,operational,1,station,ok,nonexistent,2018,4,8,18,41,2018-04-08 18:41:00,2
280 avenue Jean JaurÃ¨s,0,0,0,0,0,nonexistent,ChÃ¢tenay-Malabry,STATION,92290,broken,0,station,closed,nonexistent,2018,4,9,0,50,2018-04-09 00:50:00,0
33 rue Crozatier,0,0,0,0,0,broken,Paris,STATION,75012,broken,0,station,closed,nonexistent,2018,4,5,6,8,2018-04-05 06:08:00,0
4 Avenue SecrÃ©tan,2,2,0,1,0,operational,Paris,STATION,75019,operational,1,station,ok,nonexistent,2018,4,5,9,27,2018-04-05 09:27:00,3
34 avenue du CimetiÃ¨re Parisien,0,0,0,0,0,nonexistent,Pantin,STATION,93500,broken,0,station,closed,nonexistent,2018,4,8,22,38,2018-04-08 22:38:00,0
6 rue de Paris,1,1,0,0,0,nonexistent,Meudon,STATION,92190,operational,1,station,ok,nonexistent,2018,4,9,9,29,2018-04-09 09:29:00,1
4 Rue Croix des Petits Champs,0,0,0,0,0,nonexistent,Paris,STATION,75001,operational,3,station,ok,nonexistent,2018,4,8,13,57,2018-04-08 13:57:00,0
3 avenue d'Ivry,2,2,0,0,1,operational,Paris,STATION,75013,operational,1,station,ok,nonexistent,2018,4,2,11,10,2018-04-02 11:10:00,2
23 avenue du GÃ©nÃ©ral de Gaulle,5,5,0,1,0,nonexistent,Gennevilliers,STATION,92230,operational,0,station,ok,nonexistent,2018,4,8,8,42,2018-04-08 08:42:00,6
15 boulevard Mortier,1,1,0,0,1,operational,Paris,STATION,75020,operational,4,station,ok,nonexistent,2018,4,8,3,45,2018-04-08 03:45:00,1
44 rue de Fontenay,2,2,0,1,0,nonexistent,Vincennes,STATION,94300,operational,0,station,ok,nonexistent,2018,4,7,14,50,2018-04-07 14:50:00,3
10 rue du Quatre septembre,0,0,0,0,1,operational,Paris,STATION,75002,operational,5,station,ok,nonexistent,2018,4,5,23,35,2018-04-05 23:35:00,0
3 avenue Paul Doumer,5,5,0,0,0,nonexistent,Rueil-Malmaison,STATION,92500,operational,0,station,ok,nonexistent,2018,4,2,12,48,2018-04-02 12:48:00,5
28 rue Championnet,1,1,0,0,2,operational,Paris,STATION,75018,operational,5,station,ok,nonexistent,2018,4,7,12,50,2018-04-07 12:50:00,1
1 rue Jules LefÃ¨bvre,1,1,0,2,0,operational,Paris,STATION,75009,operational,0,station,ok,nonexistent,2018,4,5,13,16,2018-04-05 13:16:00,3
20 Chemin LatÃ©ral,3,3,0,1,1,operational,Drancy,STATION,93700,operational,2,station,ok,nonexistent,2018,4,5,11,57,2018-04-05 11:57:00,4
22 Voie au Lard,7,7,0,0,0,nonexistent,Rungis,STATION,94150,operational,0,station,ok,nonexistent,2018,4,1,17,35,2018-04-01 17:35:00,7
22 rue de Normandie,6,6,0,0,0,nonexistent,AsniÃ¨res-sur-Seine,STATION,92600,operational,0,station,ok,nonexistent,2018,4,2,11,18,2018-04-02 11:18:00,6
236 Rue des PyrÃ©nÃ©es,6,6,0,0,0,operational,Paris,STATION,75020,operational,0,station,ok,nonexistent,2018,4,3,6,33,2018-04-03 06:33:00,6
26 rue HuchÃ©,6,6,0,0,0,operational,Suresnes,STATION,92150,operational,0,station,ok,nonexistent,2018,4,4,8,28,2018-04-04 08:28:00,6
42 Rue Victor Hugo,6,6,0,0,0,nonexistent,Colombes,STATION,92700,operational,0,station,ok,nonexistent,2018,4,5,5,4,2018-04-05 05:04:00,6
2 avenue du Val de Fontenay,5,5,0,1,0,nonexistent,Fontenay-Sous-Bois,STATION,94120,operational,0,station,ok,nonexistent,2018,4,7,3,57,2018-04-07 03:57:00,6
8 rue Gaston Tessier,4,4,0,0,1,operational,Paris,STATION,75019,operational,1,station,ok,nonexistent,2018,4,3,12,31,2018-04-03 12:31:00,4
20 Boulevard de Vaugirard,2,2,1,1,0,operational,Paris,STATION,75015,operational,0,station,ok,nonexistent,2018,4,7,11,57,2018-04-07 11:57:00,4
52 Boulevard de la RÃ©publique,4,4,0,0,0,operational,La Garenne-Colombes,SPACE,92250,operational,0,full_station,ok,broken,2018,4,8,11,55,2018-04-08 11:55:00,4
199 Rue du Faubourg Saint-Antoine,3,3,0,0,0,nonexistent,Paris,SPACE,75011,operational,1,full_station,ok,operational,2018,4,9,9,22,2018-04-09 09:22:00,3
108 Rue Balard,0,0,0,0,1,operational,Paris,STATION,75015,operational,5,station,ok,nonexistent,2018,4,2,22,33,2018-04-02 22:33:00,0
51 Rue de Bretagne,0,0,0,0,0,operational,Paris,SPACE,75003,operational,1,full_station,ok,operational,2018,4,8,0,38,2018-04-08 00:38:00,0
8 rue des Chantiers,2,2,0,0,0,nonexistent,Versailles,SPACE,78000,operational,3,full_station,ok,operational,2018,4,9,7,42,2018-04-09 07:42:00,2
69 Rue de Courcelles,0,0,0,0,2,operational,Paris,STATION,75008,operational,5,station,ok,nonexistent,2018,4,2,18,38,2018-04-02 18:38:00,0
25 rue de la Plaine,0,0,0,2,0,operational,Paris,STATION,75020,operational,3,station,ok,nonexistent,2018,4,4,17,6,2018-04-04 17:06:00,2
16 rue de Lisbonne,5,5,0,1,0,nonexistent,Rosny-sous-Bois,STATION,93110,operational,0,station,ok,nonexistent,2018,4,4,9,18,2018-04-04 09:18:00,6
19 Rue des Filles du Calvaire,4,4,0,0,0,operational,Paris,STATION,75003,operational,1,station,ok,nonexistent,2018,4,3,13,57,2018-04-03 13:57:00,4
108 Rue Jouffroy d'Abbans,2,2,0,0,0,operational,Paris,STATION,75017,operational,3,station,ok,nonexistent,2018,4,2,7,28,2018-04-02 07:28:00,2
